IND,Plot,Wet Weight,LA,Dry Mass,Trichomes,Serrations
BETPAP_HF_16B_2,6,0.8137,,0.24608,lots,
SAMRAC_GR_9_1,7,2.77,,0.74761,,
SAMRAC_GR_9_2,7,1.92,,0.59269,,
SAMRAC_GR_4_1,7,2.24,,0.53007,,
SAMRAC_GR_4_2,7,2.661,,0.59028,,
DIELON_HF_3_1,7,0.325,,0.09285,,
DIELON_HF_3_2,7,0.834,,0.22669,,
SAMRAC_GR_2_1,7,1.443,,0.33617,,
SAMRAC_GR_2_2,7,3.22,,0.71946,,
DIELON_GR_5A_1,7,0.195,,0.05863,,
DIELON_GR_5A_2,7,0.2375,,0.07515,,
SORAME_GR_9A_1,7,0.949,,0.30844,,
SORAME_GR_9A_2,7,0.529,,0.16433,,
SAMRAC_GR_7A_1,7,3.717,,0.88275,,
SAMRAC_GR_7A_2,7,3.17,,0.83234,,
DIELON_HF_1A_1,7,0.496,,0.159,,
DIELON_HF_1A_2,7,0.447,,0.14277,,
DIELON_HF_4_1,7,0.3767,,0.11686,,
DIELON_HF_4_2,7,0.461,,0.15852,,
SORAME_SH_3_1,7,1.537,,0.54727,,
SORAME_SH_3_2,7,0.9856,,0.34809,,
SORAME_GR_9B_1,7,0.716,,0.23891,,
SORAME_GR_9B_2,7,0.6372,,0.20846,,
DIELON_GR_5B_1,7,0.5168,,0.15483,,
DIELON_GR_5B_2,7,0.518,,0.15245,,
SORAME_GR_9C_1,7,0.25275,,0.0761,,
SORAME_GR_9C_2,7,0.656,,0.2123,,
DIELON_SH_4_1,7,0.40962,,0.12684,,
DIELON_SH_4_2,7,0.621,,0.16906,,
DIELON_GR_5C_1,7,0.4114,,0.10462,,
DIELON_GR_5C_2,7,0.56203,,0.17867,,
DIELON_HF_2_1,7,0.29589,,0.10596,,
DIELON_HF_2_2,7,0.502,,0.15851,,
DIELON_HF_1B_1,7,0.32381,,0.11004,,
DIELON_HF_1B_2,7,0.4425,,0.14535,,
ACESPI_GR_4_1,7,0.477,,0.14209,,
ACESPI_GR_4_2,7,0.664,,0.20301,,
SORAME_GR_9D_1,7,0.814,,0.26719,,
SORAME_GR_9D_2,7,0.461,,0.14169,,
SAMRAC_GR_7B_1,7,1.572,,0.3669,,
