"spp","site","ind","plot","year","budburst","leafout","budset","risk","Plot","provenance.lat","provenance.long"
"SPITOM","HF","9A","8",2019,93,119,253,26,NA,42.531705,-72.18992
"SPITOM","HF","9B","8",2019,97,119,253,22,NA,42.531705,-72.18992
"SPITOM","SH","9","4",2019,107,119,253,12,NA,45.932675,-74.02507
"SPITOM","SH","99","4",2019,100,119,253,19,NA,45.932675,-74.02507
"SPITOM","SH","99B","11",2019,103,119,256,16,NA,45.932675,-74.02507
"SPITOM","SH","99C","11",2019,103,119,249,16,NA,45.932675,-74.02507
"SPITOM","SH","99D","11",2019,103,119,253,16,NA,45.932675,-74.02507
"SPITOM","SH","99E","11",2019,97,119,253,22,NA,45.932675,-74.02507
"SPITOM","SH","99F","11",2019,103,135,253,32,NA,45.932675,-74.02507
"SPITOM","WM","4A","8",2019,97,115,256,18,NA,44.112337,-71.230138
"SPITOM","WM","4B","8",2019,97,115,256,18,NA,44.112337,-71.230138
"SPITOM","WM","5","8",2019,97,115,256,18,NA,44.112337,-71.230138
"SPITOM","WM","5A","4",2019,100,115,256,15,NA,44.112337,-71.230138
"SPITOM","WM","5B","4",2019,97,115,256,18,NA,44.112337,-71.230138
"SPITOM","WM","5C","4",2019,97,115,NA,18,NA,44.112337,-71.230138
"SPITOM","WM","5D","4",2019,97,119,256,22,NA,44.112337,-71.230138
"SPITOM","WM","5E","4",2019,103,119,253,16,NA,44.112337,-71.230138
"VACMR","GR","10B","13",2019,103,NA,NA,NA,NA,44.794942,-71.146683
"VACMYR","GR","10A","13",2019,147,NA,NA,NA,NA,44.794942,-71.146683
"VACMYR","WM","5","13",2019,NA,147,245,NA,NA,44.112337,-71.230138
"VIBCAS","GR","10","11",2019,100,115,249,15,NA,44.794942,-71.146683
"VIBCAS","GR","10","4",2019,97,115,240,18,NA,44.794942,-71.146683
"VIBCAS","GR","12A","4",2019,100,115,245,15,NA,44.794942,-71.146683
"VIBCAS","GR","12A","8",2019,97,112,253,15,NA,44.794942,-71.146683
"VIBCAS","GR","12B","4",2019,103,115,249,12,NA,44.794942,-71.146683
"VIBCAS","GR","12B","8",2019,97,112,249,15,NA,44.794942,-71.146683
"VIBCAS","GR","3","14",2019,97,115,253,18,NA,44.794942,-71.146683
"VIBCAS","GR","5","8",2019,103,112,249,9,NA,44.794942,-71.146683
"VIBCAS","GR","9","4",2019,103,112,274,9,NA,44.794942,-71.146683
"VIBCAS","HF","7A","14",2019,107,119,260,12,NA,42.531705,-72.18992
"VIBCAS","SH","1","4",2019,100,115,274,15,NA,45.932675,-74.02507
"VIBCAS","SH","1A","8",2019,93,112,253,19,NA,45.932675,-74.02507
"VIBCAS","SH","1B","8",2019,100,115,240,15,NA,45.932675,-74.02507
"VIBCAS","SH","5","4",2019,103,112,256,9,NA,45.932675,-74.02507
"VIBCAS","SH","5A","8",2019,103,115,263,12,NA,45.932675,-74.02507
"VIBCAS","SH","5B","8",2019,103,112,253,9,NA,45.932675,-74.02507
"VIBCAS","SH","9","11",2019,100,119,249,19,NA,45.932675,-74.02507
"VIBCAS","WM","10","11",2019,100,112,240,12,NA,44.112337,-71.230138
"VIBCAS","WM","4","11",2019,100,112,253,12,NA,44.112337,-71.230138
"VIBCAS","WM","4","4",2019,103,115,240,12,NA,44.112337,-71.230138
"VIBCAS","WM","4","8",2019,107,115,245,8,NA,44.112337,-71.230138
"VIBCAS","WM","7","14",2019,100,119,240,19,NA,44.112337,-71.230138
"VIBCAS","WM","9A","11",2019,103,119,253,16,NA,44.112337,-71.230138
"VIBCAS","WM","9A","8",2019,97,112,249,15,NA,44.112337,-71.230138
"VIBCAS","WM","9B","11",2019,97,112,253,15,NA,44.112337,-71.230138
"VIBCAS","WM","9B","8",2019,103,112,240,9,NA,44.112337,-71.230138
"ACEPEN","WM","5","2",2019,NA,NA,240,NA,NA,44.112337,-71.230138
"BETALL","SH","5","9",2019,NA,NA,274,NA,NA,45.932675,-74.02507
"SPIALB","GR","5","8",2019,NA,NA,260,NA,NA,44.794942,-71.146683
"VIBCAS","SH","5C","8",2019,NA,NA,256,NA,NA,45.932675,-74.02507
"SAMRAC","GR","9","7",2018,58,124,NA,66,NA,44.794942,-71.146683
"SAMRAC","HF","A","10",2018,58,124,NA,66,NA,42.531705,-72.18992
"SAMRAC","GR","7","10",2018,58,131,NA,73,NA,44.794942,-71.146683
